Address,ZIP Code,City,State,Area,ZipCode Group Name
"Vinay Nagar Rd, Kashimira, Ghodbunder, Mira Bhayandar, Maharashtra 401107",401107,Thane,Maharashtra,Mira Rd,MaKaBo
"4th Floor, Viraj Towers, Near WEH Metro Station, Western Express Hwy, Andheri East, Mumbai, Maharashtra 400093",400093,Mumbai,Maharashtra,Andheri East,Andheri
"Royal classic Building Ground Floor Near Infinity Mall, A/1, New Link Rd, Laxmi Industrial Estate, Suresh Nagar, Andheri West, Mumbai, Maharashtra 400053",400053,Mumbai,Maharashtra,Andheri West,Andheri
"Phoenix Market City 1st Floor, Kurla, Mumbai, Maharashtra 400070",400070,Mumbai,Maharashtra,Kurla West,Central
"Commerce House, 140, Nagindas Master Rd, Fort, Mumbai, Maharashtra 400001",400001,Mumbai,Maharashtra,Fort,SoBo
"LBS Rd, near S' ward BMC office, Bhandup (W, Kanjurmarg West, Bhandup West, Mumbai, Maharashtra 400078",400078,Mumbai,Maharashtra,Bhandup,Central
"Shop No -115,1st floor, Shop zone Premises Co-op Society Ltd, MG Road, Ghatkopar West, Mumbai, Maharashtra 400086",400086,Mumbai,Maharashtra,Ghatkopar West,Central
"Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",400077,Mumbai,Maharashtra,Ghatkopar East,Central
"A-502, Shubham Center - 1, Cardinal Garcious Road, Chakala, Andheri (E), Mumbai, Maharashtra 400099",400099,Mumbai,Maharashtra,Chakala,Andheri
"Flat-8, Vanmali Bldg, Cheda Ng, Chembur West, Mumbai 400089",400089,Mumbai,Maharashtra,Chembur West,Central
"SHOP NO-3/292 BHANU JYOTI BUILDING L.N ROAD, OPP MATUNGA RAILWAY STATION, MATUNGA EAST, Mumbai, Maharashtra 400019",400019,Mumbai,Maharashtra,Matunga East,SoBo
"Shop No.8,Dion Shelter Chs.,S. G, SG Barve Marg, near Railway station, Kurla E, Mumbai, Maharashtra 400024",400024,Mumbai,Maharashtra,Kurla East,Central
"AUREOLE HOTEL , BIMA NAGAR BEHIND NATRAJ STUDIO, ANDHERI EAST MUMBAI",400069,Mumbai,Maharashtra,Andheri East,Andheri
"Add- Kamdhenu Co-op. Hsg. Soc. Ltd., shop no 3, Achole Road, Nalasophara, Palghar, Dist - Thane,",401209,Thane,Maharashtra,Nalasopara,MaKaBo
"Shop no 1,2 & 3, Pratigya Apts,Station Rd., Bhayander(W), Dist Thane,",401101,Thane,Maharashtra,Bhayander,MaKaBo
"Shah Bhimshi Gover, S.V.Road,Opp Khira Nagar, Santacruz (West),Mumbai - 400 054.",400054,Mumbai,Maharashtra,Santacruze West,Bandra
"sidhivinayak bld, plot no 166, sec 31, vashi Gain , Navi Mumbai",400703,Navi Mumbai,Maharashtra,Vashi,Navi Mumbai
"shop no 2, V.p road, a.b dalal building, vileparle west",400056,Mumbai,Maharashtra,Vileparle West,Andheri
"shop no 2, caves road, jogeshwari east.near station",400060,Mumbai,Maharashtra,Jogeshwari East,Andheri
"shop no 1/2, juhu ekta society, new link road, andheri west",400047,Mumbai,Maharashtra,Andheri West,Andheri
"shop no 4 A, ventura shopping centre, Hiranandani park, powai.",400022,Mumbai,Maharashtra,Powai,Central
"shop no 3, casa blanca building, m.g road, vile parlr east, near suncity theatre",400057,Mumbai,Maharashtra,Vileparle East,Andheri
"hotel sea face bar and family restaurant nirmal, nalasopara west",401304,Thane,Maharashtra,Nalasopara,MaKaBo
"shop no 1, bld - A/11, golden building co- housing society, Ali road , Vasai east.",401208,Thane,Maharashtra,Vasai,MaKaBo
"Ramodiya mansion no 2, Shop no 3, 260, Dr A B Road, Opp century bazar, Worli.",400025,Mumbai,Maharashtra,Worli,SoBo
"TRIMURTI WINES
SHOP NO 4 MONALISA
HARI NIWAS CIRCLE 
THANE WEST",400601,Thane,Maharashtra,Thane West,Central
"Shop no 10, rustomjee ozone project , goregao mulund link road , goregao west",400104,Mumbai,Maharashtra,Goregaon West,MaKaBo
Shop no 8 kent gardens B factory lane opp jambli gali borivali west,400092,Mumbai,Maharashtra,Borivali West,MaKaBo
"Gold crown society, Shop no 5,7 bunglow, Opp icici bank Atm, Andheri west .",400061,Mumbai,Maharashtra,Andheri West,Andheri
"Sunrise apartments shop no 4. Water field road,
Opp ojas eye hospital,
bandra west.",400050,Mumbai,Maharashtra,Bandra West,Bandra
"Shop No 6-11, Kavarana Terrace, Dr. Baba saheb Ambedkar Road, Byculla (E), Mumbai, Maharashtra 400027",400027,Mumbai,Maharashtra,Byculla,SoBo
"719, Tata Rd No 2, Charni Road East, Opera House, Girgaon, Mumbai, Maharashtra 400004",400004,Mumbai,Maharashtra,Opera House,SoBo
"131, Rambhau Bhogle Marg, Anjeer Wadi, Mustafa Bazar, Mazgaon, Mumbai, Maharashtra 400010",400010,Mumbai,Maharashtra,Mazgaon,SoBo
"Shop no 6, Rajni Mahal, Tardeo Rd, Arya Nagar, Tulsiwadi, Tardeo, Mumbai, Maharashtra 400034",400034,Mumbai,Maharashtra,Tardeo,SoBo
"Suklaji street, Tanki wala Bilding, Mumbai, Maharashtra 400008",400008,Mumbai,Maharashtra,Mumbai Central,SoBo
"1 & 2, Jai mahavir darshan, carter road no. 5, opp. Green's hotel, Borivali East, Mumbai, Maharashtra 400066",400066,Mumbai,Maharashtra,Borivali East,MaKaBo
"shop no 93,Indra Nagar , KK Marg , 90feet Road,Dharavi ,Mumbai 400017",400017,Mumbai,Maharashtra,Sion,SoBo
"Near Grand Hyaat, Bandra Kurla Complex Vicinity, Off Western Express Highway, Santacruz East, Mumbai, Maharashtra 400055",400055,Mumbai,Maharashtra,Santacruze East,Bandra
"Thakur Village, Kandivali East Inside Thakur college of science and commerce Bldg. Ground floor, Singh Agri Estate, Mumbai, Maharashtra 400067",400067,Mumbai,Maharashtra,Kandivali,MaKaBo
"Byculla West, Byculla, Mumbai, Maharashtra 400011",400011,Mumbai,Maharashtra,Byculla,SoBo
"Opposite Street Joseph's School, Plot No. 86, National Highway Road No.5 Sand Hurst Road, Mumbai, Maharashtra 400009",400009,Mumbai,Maharashtra,Sand Hurst Road,SoBo
