Sr. No.,Client Name,Credit Limit,Address,City,State,ZIP Code,Contact Person Name,Contact Person Mobile,Contact Person Mobile 2 (Optional),Contact Person Email (Optional),GST No,Client Category
N1,JP Infra Realty Pvt Ltd,50000,"Vinay Nagar Rd, Kashimira, Ghodbunder, Mira Bhayandar, Maharashtra 401107",Thane,Maharashtra,401107,Joanita Salian,8369420036,_,joanita.salians@jpinfra.com,27AAOCS9607A1Z7,Corporate
N2,JP Infra Residency Pvt Ltd,50000,"Vinay Nagar Rd, Kashimira, Ghodbunder, Mira Bhayandar, Maharashtra 401107",Thane,Maharashtra,401107,Joanita Salian,8369420036,_,joanita.salians@jpinfra.com,27AAECJ6832E1ZL,Corporate
N3,JP Infra Ventures Pvt Ltd,50000,"4th Floor, Viraj Towers, Near WEH Metro Station, Western Express Hwy, Andheri East, Mumbai, Maharashtra 400093",Mumbai,Maharashtra,400093,Ms. Shruti,9702786661,_,chirag.gangurde@jpinfra.com,27AALFJ2933L1ZZ,Corporate
N4,Cafe Filli - Andheri,30000,"Royal classic Building Ground Floor Near Infinity Mall, A/1, New Link Rd, Laxmi Industrial Estate, Suresh Nagar, Andheri West, Mumbai, Maharashtra 400053",Mumbai,Maharashtra,400053,Mr. Saud,9167198489,_,Prathmesh@deliverifynow.com,27AAFCT7597P1Z7,HoReCa
N5,Cafe Filli - Kurla,30000,"Phoenix Market City 1st Floor, Kurla, Mumbai, Maharashtra 400070",Mumbai,Maharashtra,400070,Mr. Saud,9167198489,_,Prathmesh@deliverifynow.com,27AAFCT7597P1Z7,HoReCa
N6,Cafe Filli - Fort,30000,"Commerce House, 140, Nagindas Master Rd, Fort, Mumbai, Maharashtra 400001",Mumbai,Maharashtra,400001,Mr. Saud,9167198489,_,Prathmesh@deliverifynow.com,27AAFCT7597P1Z7,HoReCa
N7,Hotel Anantha,30000,"LBS Rd, near S' ward BMC office, Bhandup (W, Kanjurmarg West, Bhandup West, Mumbai, Maharashtra 400078",Mumbai,Maharashtra,400078,Mr. More,8779936649,9766548540,Prathmesh@deliverifynow.com,27AAACN7512P1Z3,HoReCa
N8,Safal Teachers Training,3000,"Shop No -115,1st floor, Shop zone Premises Co-op Society Ltd, MG Road, Ghatkopar West, Mumbai, Maharashtra 400086",Mumbai,Maharashtra,400086,Reception,8879334700,_,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N9,Priya Telecommunication,3000,"Shop-07, Kale Marg, Opp. Jay Jawan Garden, Bail Bazar, Kurla West. Mumbai- 400070",Mumbai,Maharashtra,400070,Ms. Priya,8976424755,_,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N10,Chirag Telecommunication,3000,"Shop-09, Bhave Shankar Mandir Compound, Near Parmar Industrial Estate, Kale Marg, Bail Bazar, Kurla West, Mumbai-70",Mumbai,Maharashtra,400070,Mr. Jain,9819632149,_,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N11,Elite Enterprise,3000,"111, 1st floor, Shop Zone Building, Ghatkopar - Mahul Road, MG Road, Mumbai, Maharashtra 400086",Mumbai,Maharashtra,400086,Sagar,7977270839,_,Prathmesh@deliverifynow.com,27AAFFEE1375F1ZL,Corporate
N12,Trikolla LLP,3000,"Bhaveshwar Complex, G6,near, Kirol Village, Vidyavihar Station, Ghatkopar West, Mumbai, Maharashtra 400086",Mumbai,Maharashtra,400086,Reception,9372704144,_,Prathmesh@deliverifynow.com,27AAKFT3550N1ZP,Corporate
N13,Speco Infrastructures,3000,"Bhaveshwar Complex, G15,near, Kirol Village, Vidyavihar Station, Ghatkopar West, Mumbai, Maharashtra 400086",Mumbai,Maharashtra,400086,Gulab,9029016520,_,Prathmesh@deliverifynow.com,27ACEFS4960M1ZK,Corporate
N14,Airtek,3000,"Bhaveshwar Complex, 115,near, Kirol Village, Vidyavihar Station, Ghatkopar West, Mumbai, Maharashtra 400086",Mumbai,Maharashtra,400086,Suresh,8828512735,_,Prathmesh@deliverifynow.com,27ABCFA1858K1ZB,Corporate
N15,Air Design HVAC,3000,"Gala- 05, Shriram Upadhyay Industrial Estate, Kale Marg, Bail Bazar, Kurla West.",Mumbai,Maharashtra,400070,Sheru Bhai,8657435741,_,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N16,Fitness Pitch Studio,3000,"Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",Mumbai,Maharashtra,400077,Reena Chaddha,9821310575,2225061862,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Corporate
N17,A Plus Analitics,3000,"A-502, Shubham Center - 1, Cardinal Garcious Road, Chakala, Andheri (E), Mumbai, Maharashtra 400099",Mumbai,Maharashtra,400099,Tushar Gurav,9820301128,_,Prathmesh@deliverifynow.com,27AAZFA4025A1ZM,Corporate
N18,Amrut Caterers,20000,"Flat-8, Vanmali Bldg, Cheda Ng, Chembur West, Mumbai 400089",Mumbai,Maharashtra,400089,Priyank,8169216622,_,Prathmesh@deliverifynow.com,27AADPG4575H1Z0,Caterer
N19,Top 10 Matunga,15000,"SHOP NO-3/292 BHANU JYOTI BUILDING L.N ROAD, OPP MATUNGA RAILWAY STATION, MATUNGA EAST, Mumbai, Maharashtra 400019",Mumbai,Maharashtra,400019,Yugul,9833424359,_,Prathmesh@deliverifynow.com,27AADHA2340E1ZY,Corporate
N20,Cell O City - Kurla,15000,"Shop No.8,Dion Shelter Chs.,S. G, SG Barve Marg, near Railway station, Kurla E, Mumbai, Maharashtra 400024",Mumbai,Maharashtra,400024,Akbar Ansari,9773883557,_,Prathmesh@deliverifynow.com,27AMGPN6978E1ZK,Corporate
N21,A-1 HEIGHTS & HOSPITALITY PVT LTD,50000,"AUREOLE HOTEL , BIMA NAGAR BEHIND NATRAJ STUDIO, ANDHERI EAST MUMBAI",Mumbai,Maharashtra,400069,Mr. Satish,9920250583,,Prathmesh@deliverifynow.com,27AAKCA8376N1ZU,HoReCa
N22,Wine store ,30000,"Add- Kamdhenu Co-op. Hsg. Soc. Ltd., shop no 3, Achole Road, Nalasophara, Palghar, Dist - Thane,",Thane,Maharashtra,401209,Living Liquidz,8446106425,9588468826,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N23,Dadar wines ,30000,"Shop no 1,2 & 3, Pratigya Apts,Station Rd., Bhayander(W), Dist Thane,",Thane,Maharashtra,401101,Living Liquidz,9619881414,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N24,Sunny Wines ,30000,"Shah Bhimshi Gover, S.V.Road,Opp Khira Nagar, Santacruz (West),Mumbai - 400 054.",Mumbai,Maharashtra,400054,Living Liquidz,2226117949,8108030142,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N25,V Five wines ,30000,"sidhivinayak bld, plot no 166, sec 31, vashi Gain , Navi Mumbai",Navi Mumbai,Maharashtra,400703,Living Liquidz,8422837222,6900094000,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N26,Blue bird wine shop,30000,"shop no 123, K/776, Mira bhayander road, mira road",Thane,Maharashtra,401107,Living Liquidz,6900054000,2228124889,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N27,V.K wines.,30000,"Add- Shop no 1 , Santosh Bhavan, gokhiware road, nalasopara east .",Thane,Maharashtra,401209,Living Liquidz,7276481525,9773654189,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N28,Ashwin wine shop,30000,"Shop no 36/4/7, Gazdharband road, near laksdeep restaurant, Santa Cruz",Mumbai,Maharashtra,400054,Living Liquidz,9594950302,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N29,Bridge wines,30000,"shop no 6, near Radha Krishna hotel , m.v road, andheri east ",Mumbai,Maharashtra,400093,Living Liquidz,2226837777,2226837871,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N30,Centenary wines,30000,"shop no 2, V.p road, a.b dalal building, vileparle west",Mumbai,Maharashtra,400056,Living Liquidz,7900007622,2226134159,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N31,Amrut wines,30000,"shop no 2, caves road, jogeshwari east.near station",Mumbai,Maharashtra,400060,Living Liquidz,8692058432,2228346293,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N32,Fition wines,30000,"shop no 1/2, juhu ekta society, new link road, andheri west",Mumbai,Maharashtra,400047,Living Liquidz,8108333528,2226247907,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N33,Mazda wines,30000,"shop no 4 A, ventura shopping centre, Hiranandani park, powai.",Mumbai,Maharashtra,400022,Living Liquidz,7700070007,2249766733,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N34,Karishma wines,30000,"shop no 3, casa blanca building, m.g road, vile parlr east, near suncity theatre",Mumbai,Maharashtra,400057,Living Liquidz,9594906937,2226189732,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N35,Sea face hotel,30000,"hotel sea face bar and family restaurant nirmal, nalasopara west",Thane,Maharashtra,401304,Living Liquidz,8237591396,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N36,Nalasopara wine shop,30000,"shop no 7, raj yog apt, nagin das pada, prince park virar road, nalasopara east.",Thane,Maharashtra,401209,Living Liquidz,7758026378,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N37,Sani Wine,30000,"shop no 1, bld - A/11, golden building co- housing society, Ali road , Vasai east.",Thane,Maharashtra,401208,Living Liquidz,9920083601,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N38,Luvish Wine,30000,"Ground floor, Crystal point mall , Tata star bazaar, new link road, andheri west",Mumbai,Maharashtra,400053,Living Liquidz,9702715705,6900062000,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N39,Lucky wine ,30000,"shop no 4, narottam niwas, opp gandhi market, Dr B A road ,Sion, ",Mumbai,Maharashtra,400022,Living Liquidz,7021925339,2224090233,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
