Title,Address,Zip Code,Client Sr. No. (Ref - Sr. No. Column in Clients.csv)
JP Infra Realty Pvt Ltd,"Vinay Nagar Rd, Kashimira, Ghodbunder, Mira Bhayandar, Maharashtra 401107",401107,N1
JP Infra Residency Pvt Ltd,"Vinay Nagar Rd, Kashimira, Ghodbunder, Mira Bhayandar, Maharashtra 401107",401107,N2
JP Infra Ventures Pvt Ltd,"4th Floor, Viraj Towers, Near WEH Metro Station, Western Express Hwy, Andheri East, Mumbai, Maharashtra 400093",400093,N3
Cafe Filli - Andheri,"Royal classic Building Ground Floor Near Infinity Mall, A/1, New Link Rd, Laxmi Industrial Estate, Suresh Nagar, Andheri West, Mumbai, Maharashtra 400053",400053,N4
Cafe Filli - Kurla,"Phoenix Market City 1st Floor, Kurla, Mumbai, Maharashtra 400070",400070,N5
Cafe Filli - Fort,"Commerce House, 140, Nagindas Master Rd, Fort, Mumbai, Maharashtra 400001",400001,N6
Hotel Anantha,"LBS Rd, near S' ward BMC office, Bhandup (W, Kanjurmarg West, Bhandup West, Mumbai, Maharashtra 400078",400078,N7
Safal Teachers Training,"Shop No -115,1st floor, Shop zone Premises Co-op Society Ltd, MG Road, Ghatkopar West, Mumbai, Maharashtra 400086",400086,N8
Priya Telecommunication,"Shop-07, Kale Marg, Opp. Jay Jawan Garden, Bail Bazar, Kurla West. Mumbai- 400070",400070,N9
Chirag Telecommunication,"Shop-09, Bhave Shankar Mandir Compound, Near Parmar Industrial Estate, Kale Marg, Bail Bazar, Kurla West, Mumbai-70",400070,N10
Elite Enterprise,"111, 1st floor, Shop Zone Building, Ghatkopar - Mahul Road, MG Road, Mumbai, Maharashtra 400086",400086,N11
Trikolla LLP,"Bhaveshwar Complex, G6,near, Kirol Village, Vidyavihar Station, Ghatkopar West, Mumbai, Maharashtra 400086",400086,N12
Speco Infrastructures,"Bhaveshwar Complex, G15,near, Kirol Village, Vidyavihar Station, Ghatkopar West, Mumbai, Maharashtra 400086",400086,N13
Airtek,"Bhaveshwar Complex, 115,near, Kirol Village, Vidyavihar Station, Ghatkopar West, Mumbai, Maharashtra 400086",400086,N14
Air Design HVAC,"Gala- 05, Shriram Upadhyay Industrial Estate, Kale Marg, Bail Bazar, Kurla West.",400070,N15
Fitness Pitch Studio,"Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",400077,N16
A Plus Analitics,"A-502, Shubham Center - 1, Cardinal Garcious Road, Chakala, Andheri (E), Mumbai, Maharashtra 400099",400099,N17
Amrut Caterers,"Flat-8, Vanmali Bldg, Cheda Ng, Chembur West, Mumbai 400089",400089,N18
Top 10 Matunga,"SHOP NO-3/292 BHANU JYOTI BUILDING L.N ROAD, OPP MATUNGA RAILWAY STATION, MATUNGA EAST, Mumbai, Maharashtra 400019",400019,N19
Cell O City - Kurla,"Shop No.8,Dion Shelter Chs.,S. G, SG Barve Marg, near Railway station, Kurla E, Mumbai, Maharashtra 400024",400024,N20
A-1 HEIGHTS & HOSPITALITY PVT LTD,"AUREOLE HOTEL , BIMA NAGAR BEHIND NATRAJ STUDIO, ANDHERI EAST MUMBAI",400069,N21
Wine store ,"Add- Kamdhenu Co-op. Hsg. Soc. Ltd., shop no 3, Achole Road, Nalasophara, Palghar, Dist - Thane,",401209,N22
Dadar wines ,"Shop no 1,2 & 3, Pratigya Apts,Station Rd., Bhayander(W), Dist Thane,",401101,N23
Sunny Wines ,"Shah Bhimshi Gover, S.V.Road,Opp Khira Nagar, Santacruz (West),Mumbai - 400 054.",400054,N24
V Five wines ,"sidhivinayak bld, plot no 166, sec 31, vashi Gain , Navi Mumbai",400703,N25
Blue bird wine shop,"shop no 123, K/776, Mira bhayander road, mira road",401107,N26
V.K wines.,"Add- Shop no 1 , Santosh Bhavan, gokhiware road, nalasopara east .",401209,N27
Ashwin wine shop,"Shop no 36/4/7, Gazdharband road, near laksdeep restaurant, Santa Cruz",400054,N28
Bridge wines,"shop no 6, near Radha Krishna hotel , m.v road, andheri east ",400093,N29
Centenary wines,"shop no 2, V.p road, a.b dalal building, vileparle west",400056,N30
Amrut wines,"shop no 2, caves road, jogeshwari east.near station",400060,N31
Fition wines,"shop no 1/2, juhu ekta society, new link road, andheri west",400047,N32
Mazda wines,"shop no 4 A, ventura shopping centre, Hiranandani park, powai.",400022,N33
Karishma wines,"shop no 3, casa blanca building, m.g road, vile parlr east, near suncity theatre",400057,N34
Sea face hotel,"hotel sea face bar and family restaurant nirmal, nalasopara west",401304,N35
Nalasopara wine shop,"shop no 7, raj yog apt, nagin das pada, prince park virar road, nalasopara east.",401209,N36
Sani Wine,"shop no 1, bld - A/11, golden building co- housing society, Ali road , Vasai east.",401208,N37
Luvish Wine,"Ground floor, Crystal point mall , Tata star bazaar, new link road, andheri west",400053,N38
Lucky wine ,"shop no 4, narottam niwas, opp gandhi market, Dr B A road ,Sion, ",400022,N39
Mazda Sion,"shop no 2, plot no 31, Sion Mansion, Sion west, Sindhi colony, Sion, ",400022,N40
Megzee wine,"Ramodiya mansion no 2, Shop no 3, 260, Dr A B Road, Opp century bazar, Worli.",400025,N41
Trimurti wine ,"TRIMURTI WINES
SHOP NO 4 MONALISA
HARI NIWAS CIRCLE 
THANE WEST",400601,N42
Lemon Lokandwala,Shop no 6 Sheetal Apts Next to ICIC Back Lokhandwala Complex Andheri West.,400053,N43
Lemon Oshiwara,Order for lemon Shop no. 17  Meera Tower Oshiwara Branch,400053,N44
Lemon Malad,"Shop no 10, rustomjee ozone project , goregao mulund link road , goregao west",400104,N45
Lemon Borivali,Shop no 8 kent gardens B factory lane opp jambli gali borivali west,400092,N46
Lemon backroad,"Joggers' Park, Shop No. 1, Samarth Siddhi, Opp. Starbucks Near, Andheri (W, Mumbai, Maharashtra 400102",400053,N47
Lemon 7 bunglows,"Gold crown society, Shop no 5,7 bunglow, Opp icici bank Atm, Andheri west .",400061,N48
Lemon Bandra,"Sunrise apartments shop no 4. Water field road,
Opp ojas eye hospital,
bandra west.",400050,N49
Rampunjab,"Shop No 6-11, Kavarana Terrace, Dr. Baba saheb Ambedkar Road, Byculla (E), Mumbai, Maharashtra 400027",400027,N50
YOLO,"719, Tata Rd No 2, Charni Road East, Opera House, Girgaon, Mumbai, Maharashtra 400004",400004,N51
F For Fries,"131, Rambhau Bhogle Marg, Anjeer Wadi, Mustafa Bazar, Mazgaon, Mumbai, Maharashtra 400010",400010,N52
Tuck Box,"The Tuckbox, M-1, Paras Centre, Tata Road No. 2, Opposite Central Plaza Theatre, Charni Road East, Opera House, Mumbai, 400004",400004,N53
Ashish Wines,"Shop no 6, Rajni Mahal, Tardeo Rd, Arya Nagar, Tulsiwadi, Tardeo, Mumbai, Maharashtra 400034",400034,N54
Welcome Milk Centre,"Suklaji street, Tanki wala Bilding, Mumbai, Maharashtra 400008",400008,N55
Tawakkal Pan House,"1, pearl arcade, Tata rd .no 2, Charni Road, Mumbai - 400004",400004,N56
Pandeyji Naaz,"Naaz Cinema Building, 393, Lamington Rd, Charni Road East, Grant Road East, Shapur Baug, Grant Road, Mumbai, Maharashtra 400004",400004,N57
Priya Bar,"Ahmed Building, Dr Baba Saheb Ambedkar Rd, Byculla West, Byculla, Mumbai, Maharashtra 400027",400027,N58
Deepesh Goyal,"1 & 2, Jai mahavir darshan, carter road no. 5, opp. Green's hotel, Borivali East, Mumbai, Maharashtra 400066",400066,N59
